data,method,numberCovered,numberCoveredAsBP,numberClusters,numberNonSingletonClusters,numberCoveredSingleton,numberCoveredNonSingleton,truePositives,falsePositive,trueNegative,falseNegative,tpr,fpr,f1,mcc,ri,ba
std1_NEG,mzMatch,75,40,1411,543,4,40,40,1116,4797,35,0.53333336,0.18873668,0.064987816,0.09709642598803811,0.80778223,0.6722983
std1_NEG,greedy,75,28,130,122,0,28,28,92,6049,47,0.37333333,0.014981274,0.2871795,0.2843459084860057,0.97763836,0.67917603
std1_NEG,random,75,42,457,348,1,42,42,375,5744,33,0.56,0.061284523,0.17073171,0.21767296486195772,0.9341298,0.7493577
std1_NEG,corr,75,38,626,449,1,38,38,498,5575,37,0.50666666,0.082002304,0.12438625,0.16524824733946983,0.91297984,0.7123322
std1_NEG,mixture,75,32,176,153,0,32,32,121,6007,43,0.42666668,0.01974543,0.28070176,0.2867325269286318,0.97356117,0.70346063
std1_NEG,mixture2,75,36,328,227,0,36,36,215,5864,39,0.48,0.03536766,0.2208589,0.2466462401217202,0.95872605,0.72231615
std1_NEG,mixture3,75,33,149,137,0,33,33,103,6035,42,0.44,0.01678071,0.3127962,0.31586059950080136,0.97666186,0.7116096
std1_POS,mzMatch,75,47,2183,752,8,41,47,1630,7028,28,0.62666667,0.18826519,0.05365297,0.10269885818507238,0.81014544,0.71920073
std1_POS,greedy,75,27,135,130,0,27,27,106,9052,48,0.36,0.011574579,0.2596154,0.26247882144920076,0.9833207,0.6742127
std1_POS,random,75,36,556,444,0,36,36,486,8642,39,0.48,0.05324277,0.12060302,0.16587433923073389,0.9429534,0.7133786
std1_POS,corr,75,43,969,696,2,42,43,815,8236,32,0.5733333,0.090045296,0.092175774,0.14949996087242884,0.90718824,0.741644
std1_POS,mixture,75,29,191,176,0,29,29,150,8998,46,0.38666666,0.016397027,0.22834645,0.24104882629028926,0.9787488,0.6851348
std1_POS,mixture2,75,34,494,329,1,34,34,340,8701,41,0.45333335,0.03760646,0.15144767,0.1893240401547662,0.95820534,0.70786345
std1_POS,mixture3,75,28,156,150,0,28,28,124,9032,47,0.37333333,0.013543032,0.24669604,0.25380032502998867,0.9814755,0.67989516
std2_NEG,mzMatch,59,32,1207,463,4,31,32,926,3214,27,0.5423729,0.2236715,0.06293019,0.0893897773338193,0.7730412,0.6593507
std2_NEG,greedy,60,21,126,114,1,21,21,87,4265,39,0.35,0.01999081,0.25,0.2473421292861818,0.9714415,0.6650046
std2_NEG,random,60,27,392,290,0,27,27,304,4011,33,0.45,0.070451915,0.13810742,0.16692187827191599,0.9229714,0.68977404
std2_NEG,corr,60,29,527,351,1,29,29,385,3888,31,0.48333332,0.09010063,0.12236287,0.15631616660152,0.9039926,0.69661635
std2_NEG,mixture,60,23,166,129,0,23,23,101,4230,37,0.38333333,0.02332025,0.25,0.25229917922425105,0.9685721,0.6800065
std2_NEG,mixture2,60,27,307,186,1,27,27,180,4101,33,0.45,0.042046253,0.20224719,0.2235057800897471,0.950933,0.70397687
std2_NEG,mixture3,60,19,140,124,0,19,19,99,4250,41,0.31666666,0.022763854,0.21348314,0.21098608364824736,0.96824676,0.64695144
std2_POS,mzMatch,62,38,3224,1118,6,36,38,2433,7209,24,0.61290324,0.25233355,0.030003948,0.0659436548316892,0.7468054,0.68028486
std2_POS,greedy,62,21,139,133,0,21,21,105,10257,41,0.33870968,0.010133179,0.22340426,0.2312024434690994,0.98599386,0.6642882
std2_POS,random,62,33,548,450,0,33,33,461,9867,29,0.5322581,0.04463594,0.118705034,0.17647940989144276,0.95283926,0.7438111
std2_POS,corr,62,34,1418,1101,1,34,34,1260,9001,28,0.5483871,0.12279505,0.050147492,0.09931097100427072,0.8752301,0.71279603
std2_POS,mixture,62,25,199,184,0,25,25,151,10204,37,0.4032258,0.014582328,0.21008404,0.23195020708852052,0.98195255,0.69432175
std2_POS,mixture2,62,32,645,453,0,32,32,489,9767,30,0.516129,0.047679406,0.10977702,0.1653416742063232,0.9496996,0.7342248
std2_POS,mixture3,62,23,169,158,0,23,23,125,10233,39,0.37096775,0.012067967,0.21904762,0.23326448482832832,0.98426104,0.6794499
std3_NEG,mzMatch,24,14,736,242,2,13,14,429,1523,10,0.5833333,0.21977459,0.059957173,0.09548764452703,0.777834,0.6817794
std3_NEG,greedy,25,6,127,109,0,6,6,104,2118,19,0.24,0.04680468,0.08888889,0.09391609548472475,0.94526035,0.5965977
std3_NEG,random,25,14,318,213,1,13,14,246,1936,11,0.56,0.112740606,0.09824561,0.14682066938087857,0.8835523,0.7236297
std3_NEG,corr,25,10,385,240,1,10,10,279,1869,15,0.4,0.12988827,0.06369427,0.0848283890804599,0.8647032,0.63505584
std3_NEG,mixture,25,7,162,117,0,7,7,113,2084,18,0.28,0.05143377,0.096551724,0.10665718388800079,0.9410441,0.6142831
std3_NEG,mixture2,25,9,271,160,0,9,9,159,1979,16,0.36,0.074368566,0.09326425,0.11406535591803496,0.91909385,0.6428157
std3_NEG,mixture3,25,7,140,114,0,7,7,110,2106,18,0.28,0.04963899,0.09859155,0.10876612865713763,0.94288266,0.6151805
std3_POS,mzMatch,23,12,1619,426,1,11,12,881,2561,11,0.5217391,0.25595585,0.026200874,0.04934416608296917,0.74256855,0.63289165
std3_POS,greedy,23,9,138,128,0,9,9,121,4035,14,0.39130434,0.029114533,0.11764706,0.15434492568308378,0.9676956,0.6810949
std3_POS,random,23,10,432,331,0,10,10,371,3746,13,0.4347826,0.09011416,0.04950495,0.08862520020623445,0.90724635,0.6723342
std3_POS,corr,23,10,854,574,1,10,10,656,3323,13,0.4347826,0.16486554,0.029027576,0.0547811435968948,0.8328336,0.6349585
std3_POS,mixture,23,8,195,172,0,8,8,166,3978,15,0.3478261,0.040057916,0.08121827,0.11399169646504174,0.9565635,0.6538841
std3_POS,mixture2,23,9,511,331,0,9,9,350,3664,14,0.39130434,0.087194815,0.04712042,0.080413607338115,0.909834,0.6520548
std3_POS,mixture3,23,8,155,147,0,8,8,138,4018,15,0.3478261,0.033205006,0.09467456,0.1267648856624407,0.9633884,0.65731055
